Unique ID, Nationality, DOB, Marital Status, Number of Children, Work Reason, Characteristics, Work Skill, Reason for Leaving ,Current Job, Previous Jobs, Start Date, Current Job Start Date, End Date
4964,Italian,25/9/1987,Other,3,BEHAVIOR,['Dark skin'],['Typing'; 'Electrical'],Time,Construction,['Ditch_Digger'; 'Food_TesterCivilian_Guard'],1/13/2012,10/28/2018,NA
5145,German,18/1/1984,Other,5,PARENTS,['Crafty'; 'Low IQ'],['Strong'; 'Mathematics'],Voluntarily,Farmer,['Farmer'; 'Computer_Repair'; 'Construction'; 'Office_Worker'],10/20/2010,12/25/2019,NA
6602,American,3/6/1987,Other,4,CULTURE,['Tattoo back'; 'No teeth'],['Electrical'; 'Computer'],Exhaustion,Farmer,['Construction'],6/19/2016,1/11/2017,NA
8239,Russian,13/1/1969,Married,0,BEHAVIOR,['Scar arm'],['Computer'; 'Electrical'],NA,NA,['Office_Worker'; 'Farmer'],12/14/2012,NA,8/11/2019
973,Italian,13/1/1985,Single,0,PARENTS,['Long legs'; 'No teeth'],['Mathematics'],Voluntarily,Shoe_Tester,['Office_Worker'; 'Ditch_Digger'; 'Construction'; 'Ditch_Digger'],4/12/2010,5/9/2018,NA
5133,English,27/3/1965,Other,0,DEBT,['No teeth'; 'Tattoo forearm'],['Construction'; 'Typing'],NA,NA,['Construction'],10/28/2012,NA,12/17/2019
5188,Italian,10/6/1969,Married,2,CULTURE,['One arm'],['Computer'],Voluntarily,Office_Worker,NA,11/3/2012,11/3/2012,NA
760,German,2/8/1984,Other,3,PARENTS,['Tattoo forearm'],['Mechanical'],NA,NA,['Food_TesterCivilian_Guard'; 'Computer_Repair'],1/8/2012,NA,1/8/2017
2018,Ghanaian,13/1/1965,Other,1,CULTURE,['Crafty'; 'No teeth'],['Computer'],NA,NA,['Ditch_Digger'],9/8/2016,NA,7/5/2019
6663,Israeli,15/8/1995,Married,4,BEHAVIOR,['No teeth'],['Mathematics'],Exhaustion,Shoe_Tester,['Shoe_Tester'; 'Food_TesterCivilian_Guard'; 'Ditch_Digger'; 'Construction'; 'Ditch_Digger'; 'Farmer'],9/12/2010,3/18/2019,NA
